UID	Ferlus's numbering	I = EFEO; II = SOAS +CNRS; III = Michel Ferlus; IV = Frédéric Pain	French	English	Chinese [简体中文]	Vietnamese	Vietnamese (older form, corrected since)	Written Khmer	Standard (Modern) Khmer	Tatey Leu Khmer	Written Khmer: variant	Standard (Modern) Khmer: variant	Tatey Leu Khmer: variant	semantics	sémantique	TaiYo	TaiYo IPA (Mỹ Dạ)		
196	47.3	II	Résine (de dipterocarpus)	Resin (of dipterocarpus)	树脂	nhựa (cây), mủ (cây)	nhưa cây	jăr	cɔə	càːr cʰətàːl				plants	plantes				
197	47.4	III	Sève	Sap	树液	mủ cây		-	-					plants	plantes	dáng mãy	zɑŋ13 mɑi53		
198	48	I	Feuille	Leaf	叶，树叶	lá		slịk	slɤk	slɤk				plants	plantes	bớ	bə13		
199	48.1	II	Bourgeon	Bud	芽	chồi, mầm		truoy	truəj	truɛj				plants	plantes	nỏ có mãy	nɔ33 kɔ13 mɑi53		
200		IV	Bourgeon	Bud	芽	chồi, mầm		paṇṭūl	ɓəndoːl	ɓɔn nùːk				plants	plantes				
201	48.2	III	Épine	Thorn	刺	gai		panlā	ɓənlaː	mlaː				plants	plantes	nám	nɑm13		
202	48.3	III	Extrémité	Tip	梢	đọt cây, ngọn cây		-	-					plants	plantes				
203	49	I	Fleur	Flower	花	bông, hoa		phkā	pʰkaː	pəkáː				plants	plantes	bọc mãy	bɔk11 mɑi53		
204	49a	III	Bouton de fleur	Flower-bud	蕾（花蕾，花芽，花骨朵）	nụ hoa		-	-					plants	plantes				
205	49.1	II	Fleurir	To flower, bloom, blossom	开花	ra hoa, nở (hoa), (hoa) nở	trổ bông	ceñ phkā	cɛɲ pʰkaː	pəkáː ru`c				plants	plantes				
206		IV	Fleurir	To flower, bloom, blossom	开花	ra hoa, nở (hoa), (hoa) nở	trổ bông	mān phkā	miən pʰkaː					plants	plantes				
207	49.2	III	Pétiole, tige	Petiole, stalk	柄（叶柄，花柄）	cuống (hoa, lá)	cuống lá	-	ɗəːm					plants	plantes				
208	49.3	III	Bouquet	Bouquet	花束（成束的花）	bó (hoa), chùm (hoa), cụm (hoa)	bó bông	-	-					plants	plantes				
209	49.4	III	Guirlande	Garland	花环	tràng, vòng hoa		-	-					plants	plantes				
210	49.5	III	Fané, fleur fanée	Withered (withered flowers)	枯萎	(hoa) héo	bông úa, héo	-	-					plants	plantes				
211	50	I	Fruit	Fruit	果，果实	trái		phlæ jhœ	pʰlae cʰəː	pʰlɛː				plants	plantes	mạc	mɑk11		
212	50.1	II	Graine (pépin)	Seed (of fruit)	核，果核，种子	hạt	hột trái	grāp	kroəp	kràp				plants	plantes	kẻn	kɛn33		
213	50.2	II	Noyau	Kernel	仁（果核的最内部分或其他硬壳中可以吃的部分）	nhân, hạt nhân	hạt nhân	grāp	kroəp	rəlàː				plants	plantes				
214	50.3	II	Graine (de céréale)	Seed (of cereal)	颗，粒，颗粒	hạt, hột (lúa)		grāp	kroəp	kràp srúː				plants	plantes				
215	50.4	III	Samare	Samare	翅果，翼果（果实的一种类型，果皮向外伸出，呈翅状）	quả cánh (quả đực)	trái cây có cánh	-	-					plants	plantes				
216	50.5	III	Peau tendre des fruits	Soft peel, skin (of fruit)	果皮，软皮（果实的软皮）	vỏ, vỏ lụa	vỏ (trái) mềm	-	-					plants	plantes				
217	50.6	III	Pulpe (de coco)	Pulp (of coconut)	果肉	cơm, thịt (của quả)	cơm trái	-	-					plants	plantes				
218	50.7	III	Coque des fruits	Fruit shell	水果壳（果实的硬皮）？	vỏ cứng, gáo dừa		-	-					plants	plantes				
219	51	I	Herbe	Grass	草	cỏ		smau	smaw	smɔv				plants	plantes	nhà	ɲɑ31		
220	51.1	II	Herbe à paillote	Thatch-grass (imperata cylindria)	茅草，白茅	cỏ tranh		-	sɓúː					plants	plantes	nhà ca	ɲa31 kɑ55		
221	51.2	II	Roseau	Reed	芦苇	lau, sậy		træṅ	traeɲ	ɗəːm trɛːŋ				plants	plantes	có ò	kɔ13 ɔ31		
222		IV	Roseau	Reed	芦苇	lau, sậy		papus	ɓəɓoh					plants	plantes				
223	51.3	II	Paille	Straw, rice straw	稻草（脱粒后的稻杆）	rơm		caṁpœṅ	cəmɓaeŋ	cəmɓə´ːŋ				plants	plantes	nhu	ɲu55		
224	51.3a	III	Chaume	Thatch	苫	một loại cỏ như cỏ tranh	rạ	-	-					plants	plantes	phương	fwəŋ55		
225	51.4	II	Rotin	Rattan, cane	藤（白藤，紫藤）	cây mây, cây song		phṭau	pʰɗaw	pʰɗɔw				plants	plantes	có vái, xưa tun 	kɔ13 vɑi13ˌ sɯɑ tun55		
226	51.5	II	Canne à sucre	Sugar cane	甘蔗	mía		´aṁbau	ʔəmpəw	ʔəmpɔ`w				plants	plantes	có òi	kɔ13 ɔi31		
227	51.6	II	Entre-nœud 	Inter-node	节内，内节（竹子内节）	đốt, lóng		-	mùəj sɛc					plants	plantes				
228	51.7	II	Nœud (de bambou)	Joint (of bamboo)	（竹）节	mắt tre		-	mùəj tʰnoŋ					plants	plantes				
229	51.8	III	Jonc (à natte)	Rush	蔺	cói, lác		-	-					plants	plantes				
230	51.9	III	Natte de jonc	Rush mat	蔺草垫子	chiếu cói	chiếu lác	-	-					plants	plantes				
231	52	I	Banane	Banana	香蕉	chuối		phlæ cek	pʰlae ceːc	pʰlɛː cíːk				plants	plantes	mạc cuồi	mɑk11 kwoi31		
232	52.1	III	Régime de bananes	Bunch of bananas	一串香蕉	buồng chuối		-	-					plants	plantes				
233	52.2	III	Main de bananes, patte de bananes	Hand of bananas, cluster of bananas	一挂香蕉	nải chuối		-	-					plants	plantes				
234	53	I	Bananier	Banana (plant)	香蕉树	cây chuối		ṭœm cek	ɗaəm ceːc	ɗəːm cíːk				plants	plantes				
235	53.1	III	Feuille de bananier	Banana leaf	蕉叶	lá chuối	tàu chuối	-	-					plants	plantes				
236	53.2	III	Fleur de bananier	Banana flower	香蕉花	bắp, bông chuối		-	-					plants	plantes				
237	53.3	III	Bananier sauvage	Wild banana	野生香蕉	chuối rừng		-	-					plants	plantes				
238	53.4	III	Bananier*, sortes	Banana tree	香蕉树	cây chuối	chuối các loại	-	-					plants	plantes				
239	54	I	Haricot	Beans (general)	豆	đậu, đỗ		saṅṭæk pāy	sənɗaec baːj	sənɗɛːk ɓaːj				plants	plantes	mạc thủa	mɑk11 ʈwa33		
240	55	I	Patate douce	Sweet potato	红薯，甘薯	khoai lang		ṭaṁłūṅ jvā	ɗəmloːŋ cʰviə	ɗɔmlúŋ				plants	plantes				
241	55.1	II	Liseron d’eau	Water spinach	蕹菜，空心菜	rau muống		-	takuan					plants	plantes				
242	55.2	II	Lotus	Lotus	莲	sen		jhūk	cʰuːʔ	cʰuk				plants	plantes	bọc búa	bɔk11 bwɑ13		
243	55.3	II	Taro	Taro	芋头	khoai sọ, môn		trāv	traːw	trɔw				plants	plantes	mên òn	men55 ɔn31		
244	55.3a	III	Amorphophallus konjac	Konjac, Amorphophallus konjac, Devil's tongue	魔芋	loại cây khoai nưa		-	-					plants	plantes				
245	55.3b	III	Amorphophallus konjac (blanc)	Konjac, Amorphophallus konjac, Devil's tongue (white)	魔芋（白色）	một loại khoai nước, màu trắng	môn trắng	-	-					plants	plantes				
246	55.3c	III	Amorphophallus konjac (violet)	Konjac, Amorphophallus konjac, Devil's tongue (purple-coloured)	魔芋（紫色）	một loại khoai nước, màu tím	môn trắng	-	-					plants	plantes				
247	55.4	II	Igname	Yam	番薯	củ từ, khoai mỡ	khoai mài, củ mài	ṭaṁłūṅ jrūk	ɗəmloːŋ cruːʔ	ɗəmlaŋ tèh				plants	plantes	mên pả	men55 pɑ33		
248		IV						ṭaṁłūṅ syā	ɗəmloːŋ sjaː					plants	plantes				
249	55.4a	III	Tubercules (général)	Tuber	块茎	củ		-	-					plants	plantes				
250	55.5	III	Souche de bananier	Rhizome of plantain	香蕉块茎、香蕉根茎（香蕉的根部）	củ chuối		gal¢ cek	kuəl ceːc	kɔ`l ciːk				plants	plantes				
251	55.6	III	Cœur de bananier (tige fraîche; comestible)	Banana stem (edible)	蕉杆杆芯	nõn chuối		-	-					plants	plantes				
252	55.7	III	Haricot bulbeux	Jicama, yam bean (Pachyrhizus erosus)	凉薯	củ đậu		-	-					plants	plantes				
253	56	I	Sésame	Sesamum	芝麻	mè, vừng		lṅa	ləŋɔː	ləŋɔ`ː				plants	plantes	mạc nga	mɑk11 ŋɑ55		
254	57	I	Arachide	Groundnut, peanut	花生	lạc, đậu phộng	lạc, đậu phụng	saṇṭæk ṭī	sənɗaec ɗɛj	sɔnɗɛːk ɗíː				plants	plantes	thủa hò	ʈwa33 hɔ31		
255	58	I	Concombre	Cucumber	黄瓜	dưa chuột, dưa leo	dưa leo, mướp kiến	trasak¢	trəsɑʔ	təsɒk				plants	plantes	tánh hừn xẵng, tánh nú	tɑɲ13 hɯn31 sʌŋ53, tɑɲ13 nu55		
256	59	I	Cocotier	Coconut palm	椰子树	cây dừa		ṭœm ṭūṅ	ɗaəm ɗoːŋ	ɗəːm ɗúːŋ				plants	plantes				
257	60	I	Noix de coco	Coconut	椰子	trái dừa		phlæ ṭūṅ	pʰlae ɗoːŋ	pʰlɛː ɗúːŋ				plants	plantes	mạc Phão	mɑk11 Fɑɔ53		
258	60.1	III	Grappe de coco	Cluster of coconuts	椰子串，一串椰子果	buồng dừa, chùm dừa	chùm dừa	-	-					plants	plantes	ngổ mạc Phão	ŋo33 mɑk11 Fɑɔ53		
259	60.2	III	Calebasse de coco	Coconut shell	椰子壳，椰子的硬壳	gáo dừa		-	-					plants	plantes				
260	60.3	III	Fibre de coco	Coir	椰子壳纤维	xơ dừa		-	-					plants	plantes				
261	60.4	III	Pulpe de coco	Coconut pulp	椰肉	cùi dừa, cơm dừa	cơm dừa	-	-					plants	plantes				
262	60.5	III	Eau de coco	Coconut water	椰子水	nước dừa		-	-					plants	plantes				
263	60.6	III	Lait de coco	Coconut milk	椰奶	nước dừa		-	-					plants	plantes				
264	61	I	Aréquier	Areca palm tree	槟榔，槟榔树	cây cau		ṭœm slā	ɗaəm slaː	ɗəːm sláː				plants	plantes	có mạc	kɔ13 mɑk11		
265	62	I	Arec, noix d’arec	Areca nut (betel nut)	槟榔，槟榔子	trái cau		phlæ slā	pʰlae slaː	pʰlɛː sláː				plants	plantes	mạc mạc	mɑk11 mɑk11		
266	62.1	III	Brochette d’arec	Cluster of areca nut	槟榔子串，一串槟榔子	buồng cau		-	-					plants	plantes				
267	62.1a	III	Embrocher	To skewer (cookery: put on a skewer)	串（用扦子穿）	xâu		-	-					plants	plantes				
268	63	I	Bétel	Betel	蒌，蒌叶	trầu		mlū	məluː	məlu`ː				plants	plantes	bớ pu	bə13 pu55		
269	63a	III	Bétel sauvage	Wild betel (leaf)	野生蒌叶	trầu rừng		-	-					plants	plantes				
270	63.1	II	Liane (général)	Creeper	匍匐植物	một giống cây leo	loại cây leo	valli	vɔə	vàːr				plants	plantes				
271	63.1a	III	Liane grimpante	Creeping vine/liana	藤本植物（爬在树上的）	cây leo		-	-					plants	plantes				
272	63.1b	III	Liane rampante	Crawling vine/liana	藤本植物（爬在地上的）	cây bò		-	-					plants	plantes				
273	63.2	II	Poivre	Black pepper	黑胡椒	tiêu đen	tiêu	mrec	mərec	mrèc				plants	plantes	mạc khẻn	mɑk11 xɛn33		
274	64	I	Piment	Pimento, red pepper, chilli	辣椒	ớt		-	ʔəmtèh					plants	plantes	mạc ượt	mɑk11  ɯət11		
275	64.1	III	Travailler la rizière	To farm	耕作	làm ruộng		-	-					plants	plantes				
276	65	I	Semer le riz (à la volée)	To broadcast rice	撒播水稻	gieo vãi luá		sāp/broḥ srūv	saːp/pruəh	saːp/prɔh				plants	plantes				
277	65.1	II	Semer le riz (en poquet)	To sow rice (into hole)	播种水稻	tra thóc		ṭāṁ srūv	ɗam srɤw	ɗam srúː				plants	plantes	nẳm hảy	nʌm33 hɑi33		
278	65.2	III	Plantoir	Dibble	挖洞器	dụng cụ chọc lỗ tra hạt, gậy chọc lỗ	gậy chọc lỗ	-	-					plants	plantes	mãy cha lùm	mɑi11 cɑ55 lum31		
279	65.3	III	Semence	Seed	种子	hạt giống		-	-					plants	plantes	kẻn neo 	kɛn33 nɛɔ55		
280	66	I	Repiquer	To transfer out rice seedlings	插秧	cấy lúa		sdūṅ srūv	stuːŋ srɤw	stúːŋ				plants	plantes	đắm na	dʌm13 nɑ55		
281	66.1	II	Épi (de riz)	Ear of grain	稻穗	bông lúa		kuor	kuə	kùar srúː				plants	plantes	huông khàu	hwoŋ55 xɑu31		
282	66.2	III	Tige du riz	Rice stem	稻茎	cọng lúa		-	-					plants	plantes	pịt khàu	pit11 xɑu31		
283	66.3	III	Pousser, croître (le riz—)	Grow	生长	mọc, lên		-	-					plants	plantes	pổng hừn	poŋ33 hɯn31		
284	66.4	III	Pousser (l’arbre—)	Grow (the tree grows)	生长	mọc, lớn lên		-	-					plants	plantes	pổng tợp hừn	poŋ33 təp11 hɯn31		
285	67	I	Récolter le riz 	To harvest rice	收割水稻	gặt lúa		crūt	croːt	cruːt srúː				plants	plantes	tán khàu	tɑn13 xɑu31		
286	68	I	Plants de repiquage	Rice seedlings	稻秧	cây mạ		-	təŋnaːp					plants	plantes	có cà	kɔ13 kɑ31		
287	68.1	III	Botte de plants	A bunch of rice seedlings	一束稻秧	bó mạ		-	-					plants	plantes	pò cà	pɔ31 kɑ31		
288	69	I	Paddy	Paddy	稻谷	lúa, thóc		srūv	srɤw	srúː				plants	plantes	khàu cạc	xɑu31 kɑk11		
289	69.1	II	Battre le paddy (au fléau)	To thresh rice (with a flail)	打谷	đập lúa		pok srūv 	ɓaoʔ srɤw	ɓoːk srúː				plants	plantes	tặp khàu	tʌp11 xɑu31		
290	69.1a	III	Battre le paddy (aux pieds)	To thresh rice (by stamping with the feet)	打谷	đập lúa		pæn srūv	ɓaen srɤw	-				plants	plantes	nhẳm khàu	ɲʌm33 xɑu31		
291	69.2	II	Menue paille	Chaff, straw	稻草	rơm		saṅṭiep srūv	səŋɗiəp srɤw	səkiːɛp srúː				plants	plantes	nhu	ɲu55		
292	69.3	III	Tas de paddy	Heap of paddy	稻谷堆	đống lúa		-	-					plants	plantes	tổng na	toŋ33 nɑ55		
293	69.4	III	Fléau à battre	Flail	脱粒棍	đòn đập lúa		-	-					plants	plantes	cõn tặp khàu	kɔn53 tʌp11 xau31		
294	70	I	Riz décortiqué	Husked rice	糙，糙米（未经精碾的大米）	gạo xay, gạo thô, gạo nâu	gạo	´aṅgar	ʔəŋkɑː	ʔɔŋkɒː				plants	plantes	khàu xán 	xɑu31 sɑn13		
295	71	I	Riz glutineux	Glutinous rice, sticky rice, sweet rice, waxy rice	糯稻，糯米	gạo nếp		srūv ṭaṁṇœp	srɤw ɗəmnaəp	ʔɔŋkɒː tənnəːp				plants	plantes	khàu niếu	xɑu31 nieu13		
296	71.1	III	Riz non glutineux	Non-glutinous rice	大米	gạo tẻ		-	-					plants	plantes	khàu chắm	xɑu31 cʌm13		
297	71.2	III	Riz cuit	Cooked rice	干饭，米饭	cơm		pāy sa	ɓaːj (sɑː)	-				plants	plantes	khàu xúc	xɑu31 suk55		
298	71.3	III	Brouet, soupe de riz	Rice soup	粥	cháo		papar	ɓəɓɑː	-				plants	plantes	lồng	loŋ31		
299	72	I	Décortiquer le riz	To husk rice	精米	xay lúa		kin srūv	kən srɤw	ken srúː				plants	plantes	xay khàu	sɑi55 xɑu31		
300	72.1	II	Balle de décorticage	Husk	糠	trấu		´aṅkām	ʔəŋkaːm	-				plants	plantes	kẹp	kɛp11		
301	72.2	III	Brisures de riz	Broken rice	碎米	gạo tấm		-	-					plants	plantes	khàu piến	xɑu31 piɛn13		
302	72.3	III	Égrener le maïs	Corn husk	玉米壳	khở bắp, vỏ ngô	khở bắp	-	-					plants	plantes	kịt đưới	kit11 dɯəi13		
303	73	I	Piler le riz	To pound rice	舂米	giã gạo		puk srūv	ɓok	ɓòk srúː				plants	plantes	tắm khàu	tʌm13 xɑu31		
304	73.1	II	Son du polissage	Bran	麸子	cám		kandak¢	kəntɔk	kɔntɔk				plants	plantes	hăm	hʌm55		
305	74	I	Vanner le paddy	To winnow paddy	扬稻子，风选稻谷	sảy lúa		roy srūv	roːj srɤw	ruːj srúː				plants	plantes	phắt khàu	fʌt55 xɑu31		
306		IV								rej ʔɔŋkɒː				plants	plantes				
307		IV								stej ʔɔŋkɒː				plants	plantes				
308	74.1	III	Vanner le riz 	To winnow rice	簸米，筛米？	sàng gạo		´uṁ srūv/´aṅkar	ʔom srɤw/ʔəŋkɑː	ʔɔm srúː				plants	plantes	xớng khàu	səŋ13 xɑu31		
309	74.2	III	Van	Sieve	筛子	cái nia	cái sàng	-	-					plants	plantes	đùng xớng	duŋ31 səŋ13		
310	74.2a	III	Tamis	Sieve	筛	cái rây, cái nia	nia	-	-					plants	plantes	đùng biến	duŋ31  bien13		
311	74.3	III	Corbeille [grande et plate]	Basket	篮，篮子	cái giỏ		-	-					plants	plantes	phắc pá	fʌk13 pɑ13		
312	75	I	Récolter (en général)	To harvest, gather (general)	收割	gặt hái		peḥ	croːt/ɓɛh	ɓɛ´h				plants	plantes	tán	tɑn13		
313	75.1	II	Gerbe	Sheaf	捆	bó (lúa)	bó lúa	kaṇṭāp¢	kənɗap	kɔnnaːp				plants	plantes	pò khàu	pɔ31 xɑu31		
314		IV	Gerbe	Sheaf	捆	bó (lúa)	bó lúa			kɔnɗaːp				plants	plantes				
315	75.2	III	Gerbière	Heap of paddy sheaves	稻捆堆	đống bó lúa lớn		-	-					plants	plantes				
316	75.3	III	Récolter à la faucille	To harvest with a sickle	用镰刀收割	cắt lúa (bằng liềm), gặt liềm	gặt liềm	-	-					plants	plantes	kiểu khàu	kieu33 xɑu31		
317	75.4	III	Récolter à la main	To harvest by hand	用手收割	tuốt lúa (bằng tay)	tuốt lúa	-	-					plants	plantes	hụt khàu	hut11 xɑu31		
318	75.5	III	Arracher une plante	To pull out, to root out (a plant)	拔树	nhổ cây		-	-					plants	plantes	lốc mãy	lok55 mai53		
319	76	I	Planter un arbre	To plan a tree	种树	trồng cây		ṭāṁ jhœ	ɗam cʰəː	ɗam cʰə`ː				plants	plantes	pục mãy	puk11 mai53		
320	76a	III	Planter des tubercules	To plan tubers	种块茎？	trồng củ		-	-					plants	plantes	pục mạc	puk11 mak11		
321	76.1	II	Champignon (terrestre)	Mushroom (growing on the ground, in the soil)	蘑菇（陆生的）	nấm		phsit	pʰsɤt	pʰsɤt				plants	plantes	hết	het55		
322	76.1a	III	Champignon (sur arbre)	Mushroom (growing on trees or fallen wood)	蘑菇（树上的）	nấm mọc trên cây		-	-					plants	plantes				
323	76.1b	III	Champignons*, sortes	Mushroom, other	其他种类的蘑菇	một loại nấm		-	-					plants	plantes				
324		III	Champignons*, sortes	Mushroom, other	其他种类的蘑菇	một loại nấm		-	-					plants	plantes				
325		III	Champignons*, sortes	Mushroom, other	其他种类的蘑菇	một loại nấm		-	-					plants	plantes				
326	76.2	II	Fougère	Fern	羊齿	(cây) tổ rồng, dương xỉ	cây dương xỉ	-	-					plants	plantes	có phắc cụt	kɔ13 fʌk55 cut11		
327	77	I	Cultiver la rizière	To cultivate a rice field	耕作	làm ruộng		dhvœ sræ	tʰ(v)əː srae	tʰ(w)əː srɛː				plants	plantes	ết na	et55 nɑ55		
328	77.1	III	Fumer un champ	Manure	施肥	bón phân		-	-					plants	plantes	xở khủn	sə33 xun33		
329	77.2	III	Arroser	To water	浇，灌，浇灌	tưới (nước)	tưới nước	-	-					plants	plantes	pặt nẵm	pʌt11 nʌm53		
330	77.3	III	Débroussailler, défricher	To clear (bushes)	开荒	khai hoang	phát quang	-	-					plants	plantes	tháng kiềng	ʈɑŋ13 kieŋ31		
331	77.4	III	Désherber	To weed	除草	nhổ, dẫy cỏ		-	-					plants	plantes	lốc, lốc nhà	lok55ˌ lok55 ɲɑ31		
332	78	I	Cuire le riz (eau)	To cook rice (water)	煮米饭（用水煮）	nấu cơm		ṭadṭaṁ pāy	ɗənɗam	tənɗam ɓaːj				plants	plantes	tồm khàu	tom31 xɑu31		
